,country,social_support,freedom,corruption,generosity,gdp_per_cap,life_exp,happiness_score,grams_sugar_per_day
1,Finland,2,5,4,47,42400,81.8,155,86.8
2,Denmark,4,6,3,22,48300,81,154,152
3,Norway,3,3,8,11,66300,82.6,153,120
4,Iceland,1,7,45,3,47900,83,152,132
5,Netherlands,15,19,12,7,50500,81.8,151,122
6,Switzerland,13,11,7,16,59000,84.3,150,166
7,Sweden,25,10,6,17,47200,82.8,149,115
8,New Zealand,5,8,5,8,36500,81.9,148,162
9,Canada,20,9,11,14,44200,82.2,147,132
10,Austria,31,26,19,25,46900,82,146,124
11,Australia,7,17,13,6,45500,82.7,145,126
12,Costa Rica,42,16,58,75,15800,79.8,144,144
13,Israel,38,93,74,24,34100,83.3,143,76.2
14,Luxembourg,27,28,9,30,94300,82,142,141
15,United Kingdom,9,63,15,4,40400,81.1,141,113
16,Ireland,6,33,10,9,72400,82.3,140,126
17,Germany,39,44,17,19,46200,80.9,139,133
18,Belgium,22,53,20,44,43500,81.7,138,144
19,United States,37,62,42,12,56700,78.6,137,175
20,Czech Republic,24,58,121,117,34100,79.5,136,118
21,United Arab Emirates,72,4,NA,15,65700,73.6,135,101
22,Malta,16,12,32,5,39300,81.3,134,168
23,Mexico,67,71,87,120,18000,75.6,133,133
24,France,32,69,21,68,40000,83.1,132,107
25,Chile,58,98,99,45,23000,80,130,131
26,Guatemala,78,25,82,78,7610,73.1,129,132
27,Saudi Arabia,62,68,NA,82,48100,77.1,128,86.8
28,Qatar,NA,NA,NA,NA,113000,80.5,127,85.6
29,Spain,26,95,78,50,35700,83.3,126,95.3
30,Panama,41,32,104,88,23300,79.7,125,117
31,Brazil,43,84,71,108,14300,75.9,124,111
32,Uruguay,35,30,33,80,20900,77.3,123,113
33,Singapore,36,20,1,21,90100,85.1,122,88
34,El Salvador,83,74,85,134,7510,74.5,121,162
35,Italy,23,132,128,48,35800,83.5,120,122
36,Bahrain,59,24,NA,23,42000,79.8,119,27.6
37,Trinidad and Tobago,29,51,141,41,28500,74.5,117,130
38,Poland,44,52,108,77,29900,78.4,116,160
39,Uzbekistan,11,1,18,29,6490,70.7,115,75.1
40,Lithuania,17,122,113,124,32400,75.4,114,116
41,Colombia,52,56,124,111,13600,80.5,113,132
42,Slovenia,14,13,97,54,33700,81.4,112,70.1
43,Nicaragua,66,70,43,71,4620,79.2,111,101
44,Argentina,46,54,109,123,17500,77,109,63.3
45,Romania,86,57,146,102,25500,75.4,108,106
46,Cyprus,90,81,115,39,34500,82,107,109
47,Ecuador,71,42,68,95,10200,77.2,106,117
48,Kuwait,69,47,NA,42,64100,83.3,105,105
49,Thailand,53,18,131,10,17400,78.6,104,86.5
50,Latvia,34,126,92,105,27300,75.4,103,135
51,South Korea,91,144,100,40,37300,83,102,96
52,Estonia,12,45,30,83,32000,78.5,101,74.2
53,Jamaica,28,49,130,119,8310,74.9,100,131
54,Mauritius,54,40,96,37,21800,75,99,78.4
55,Japan,50,64,39,92,39700,84.5,98,75.2
56,Honduras,84,39,79,51,4630,74.3,97,95
57,Kazakhstan,19,80,57,57,25400,72.8,96,69.6
58,Bolivia,93,35,91,104,7150,73.3,95,62.9
59,Hungary,51,138,140,100,29600,77.2,94,78
60,Paraguay,30,34,76,67,12000,76.4,93,76
61,Peru,77,61,132,126,13000,80.8,91,134
62,Portugal,47,37,135,122,29300,81.8,90,64.6
63,Pakistan,130,114,55,58,5000,67.2,89,77.1
64,Russia,40,107,127,101,25700,72.5,88,64.6
65,Philippines,75,15,49,115,8260,70,87,131
66,Serbia,57,124,118,84,16700,76,86,51.9
67,Moldova,65,128,148,86,6720,73.1,85,118
68,Libya,73,79,31,87,14800,73.3,84,95.3
69,Montenegro,60,139,77,76,17800,76.7,83,87.3
70,Tajikistan,113,86,35,72,3150,70.8,82,121
71,Croatia,79,118,139,81,24500,78.8,81,107
72,Dominican Republic,55,43,52,93,16400,73.5,79,80.3
73,Turkey,61,140,50,98,25000,79.5,77,40.3
74,Malaysia,97,36,137,27,29100,75,76,29.4
75,Belarus,33,131,37,103,18000,74.5,75,24.6
76,Greece,102,150,123,152,25700,81.3,74,78.2
77,Mongolia,10,112,119,38,12800,69.3,73,109
78,Nigeria,111,75,114,59,5300,65.2,71,50.5
79,Turkmenistan,8,83,NA,33,17600,70.3,69,123
80,Algeria,101,149,46,128,14000,78.1,68,46.5
81,Morocco,139,76,84,154,7770,74.4,67,18.8
82,Azerbaijan,104,101,22,146,16200,71.1,66,27.4
83,Lebanon,89,136,133,63,11700,78.1,65,27.2
84,Indonesia,94,48,129,2,12100,71.9,64,78.7
85,China,108,31,NA,133,17100,77.5,63,40.5
86,Vietnam,64,23,86,97,6970,74.7,62,13
87,Bhutan,68,59,25,13,9710,74.7,61,128
88,Cameroon,129,90,120,91,3400,63.8,60,21.4
89,Bulgaria,18,115,147,112,20200,75.1,59,42.6
90,Ghana,132,91,117,52,4430,66.1,58,101
91,Nepal,87,67,65,46,2880,71.5,56,131
92,Jordan,88,88,NA,118,8350,79.6,55,106
93,Benin,153,103,75,116,2230,65.3,54,51.5
94,Gabon,95,119,103,143,16200,69,52,50
95,South Africa,63,85,102,89,12000,66.9,50,55.4
96,Albania,133,87,134,60,12700,78.5,49,14.5
97,Venezuela,49,145,110,139,9720,75.1,48,20.3
98,Cambodia,109,2,94,61,4080,70.4,47,97.4
99,Senegal,106,121,88,130,3460,68.6,45,79.8
100,Somalia,145,14,16,96,631,59.2,44,27.2
101,Namibia,70,82,98,142,9700,67.2,43,93.1
102,Niger,140,111,51,135,954,63.2,42,72.2
103,Burkina Faso,116,127,47,125,1810,62.5,41,43.7
104,Armenia,117,123,93,129,9730,75.9,40,99.2
105,Iran,134,117,44,28,16100,77.8,39,30.7
106,Guinea,136,109,70,94,2420,61.6,38,95.5
107,Georgia,147,104,28,153,10700,73.2,37,22.1
108,Gambia,125,89,26,64,1570,66.4,36,52.8
109,Kenya,123,72,105,26,3160,66.7,35,28.1
110,Mauritania,99,151,67,148,3890,71,34,16.5
111,Mozambique,122,46,40,121,1170,59.9,33,73.4
112,Tunisia,121,143,101,144,11100,78.7,32,46.2
113,Bangladesh,126,27,36,107,4140,73.7,31,29.1
114,Iraq,124,130,66,73,15700,77.1,30,126
115,Mali,112,110,107,138,2100,62.9,28,18.1
116,Sierra Leone,135,116,112,79,1460,61.3,27,95.3
117,Sri Lanka,80,55,111,35,12100,77.8,26,32.4
118,Myanmar,96,29,24,1,6270,69.1,25,78
119,Chad,141,142,80,106,1740,60.6,24,28.1
120,Ukraine,56,141,143,66,8480,70.8,23,33.3
121,Ethiopia,119,106,53,99,1900,69.1,22,64.2
122,Swaziland,103,113,41,145,9560,61.8,21,15.5
123,Uganda,114,99,95,74,1870,66.6,20,20.3
124,Egypt,118,129,89,132,11400,71,19,45.5
125,Zambia,115,73,69,53,3700,64,18,80.6
126,Togo,149,120,72,131,1610,65,17,45.8
127,India,142,41,73,65,7230,69.5,16,85
128,Liberia,127,94,126,110,1140,65.2,15,22.6
129,Comoros,143,148,81,62,2480,69.1,14,77.9
130,Madagascar,128,146,116,136,1490,64.2,13,14.1
131,Lesotho,98,97,59,151,2920,56.1,12,28
132,Burundi,152,135,23,149,644,62.3,11,24.5
133,Zimbabwe,110,96,63,141,2390,62,10,22.4
134,Haiti,146,152,48,20,1640,65.7,9,
135,Botswana,105,60,54,150,16800,69.8,8,
136,Syria,154,153,38,69,2900,71.5,7,
137,Malawi,150,65,64,109,1180,64.2,6,
138,Yemen,100,147,83,155,2340,68.1,5,
139,Rwanda,144,21,2,90,2110,69.1,4,
140,Tanzania,131,78,34,49,2980,67.7,3,
141,Afghanistan,151,155,136,137,1760,64.1,2,
142,Central African Republic,155,133,122,113,794,52.9,1,
143,South Sudan,148,154,61,85,1860,59.7,0,
